filename,url,date,asn,country
2021020914_IR_urlgetter.n0.1.jsonl,s3://ooni-data-eu-fra/raw/20210209/14/IR/urlgetter/2021020914_IR_urlgetter.n0.1.jsonl.gz,2021-02-09,AS62442,IR
2021020915_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210209/15/IR/urlgetter/2021020915_IR_urlgetter.n0.0.jsonl.gz,2021-02-09,AS62442,IR
2021020923_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210209/23/IR/urlgetter/2021020923_IR_urlgetter.n0.0.jsonl.gz,2021-02-09,AS62442,IR
2021021000_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210210/00/IR/urlgetter/2021021000_IR_urlgetter.n0.0.jsonl.gz,2021-02-10,AS62442,IR
2021021008_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210210/08/IR/urlgetter/2021021008_IR_urlgetter.n0.0.jsonl.gz,2021-02-10,AS62442,IR
2021021009_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210210/09/IR/urlgetter/2021021009_IR_urlgetter.n0.0.jsonl.gz,2021-02-10,AS62442,IR
2021021017_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210210/17/IR/urlgetter/2021021017_IR_urlgetter.n0.0.jsonl.gz,2021-02-10,AS62442,IR
2021021018_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210210/18/IR/urlgetter/2021021018_IR_urlgetter.n0.0.jsonl.gz,2021-02-10,AS62442,IR
2021021103_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210211/03/IR/urlgetter/2021021103_IR_urlgetter.n0.0.jsonl.gz,2021-02-11,AS62442,IR
2021021104_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210211/04/IR/urlgetter/2021021104_IR_urlgetter.n0.0.jsonl.gz,2021-02-11,AS62442,IR
2021021112_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210211/12/IR/urlgetter/2021021112_IR_urlgetter.n0.0.jsonl.gz,2021-02-11,AS62442,IR
2021021113_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210211/13/IR/urlgetter/2021021113_IR_urlgetter.n0.0.jsonl.gz,2021-02-11,AS62442,IR
2021021121_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210211/21/IR/urlgetter/2021021121_IR_urlgetter.n0.0.jsonl.gz,2021-02-11,AS62442,IR
2021021122_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210211/22/IR/urlgetter/2021021122_IR_urlgetter.n0.0.jsonl.gz,2021-02-11,AS62442,IR
2021021206_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210212/06/IR/urlgetter/2021021206_IR_urlgetter.n0.0.jsonl.gz,2021-02-12,AS62442,IR
2021021207_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210212/07/IR/urlgetter/2021021207_IR_urlgetter.n0.0.jsonl.gz,2021-02-12,AS62442,IR
2021021215_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210212/15/IR/urlgetter/2021021215_IR_urlgetter.n0.0.jsonl.gz,2021-02-12,AS62442,IR
2021021216_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210212/16/IR/urlgetter/2021021216_IR_urlgetter.n0.0.jsonl.gz,2021-02-12,AS62442,IR
2021021300_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210213/00/IR/urlgetter/2021021300_IR_urlgetter.n0.0.jsonl.gz,2021-02-13,AS62442,IR
2021021301_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210213/01/IR/urlgetter/2021021301_IR_urlgetter.n0.0.jsonl.gz,2021-02-13,AS62442,IR
2021021309_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210213/09/IR/urlgetter/2021021309_IR_urlgetter.n0.0.jsonl.gz,2021-02-13,AS62442,IR
2021021310_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210213/10/IR/urlgetter/2021021310_IR_urlgetter.n0.0.jsonl.gz,2021-02-13,AS62442,IR
2021021311_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210213/11/IR/urlgetter/2021021311_IR_urlgetter.n0.0.jsonl.gz,2021-02-13,AS62442,IR
2021021319_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210213/19/IR/urlgetter/2021021319_IR_urlgetter.n0.0.jsonl.gz,2021-02-13,AS62442,IR
2021021320_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210213/20/IR/urlgetter/2021021320_IR_urlgetter.n0.0.jsonl.gz,2021-02-13,AS62442,IR
2021021404_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210214/04/IR/urlgetter/2021021404_IR_urlgetter.n0.0.jsonl.gz,2021-02-14,AS62442,IR
2021021405_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210214/05/IR/urlgetter/2021021405_IR_urlgetter.n0.0.jsonl.gz,2021-02-14,AS62442,IR
2021021413_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210214/13/IR/urlgetter/2021021413_IR_urlgetter.n0.0.jsonl.gz,2021-02-14,AS62442,IR
2021021414_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210214/14/IR/urlgetter/2021021414_IR_urlgetter.n0.0.jsonl.gz,2021-02-14,AS62442,IR
2021021422_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210214/22/IR/urlgetter/2021021422_IR_urlgetter.n0.0.jsonl.gz,2021-02-14,AS62442,IR
2021021423_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210214/23/IR/urlgetter/2021021423_IR_urlgetter.n0.0.jsonl.gz,2021-02-14,AS62442,IR
